CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
53,40,93,71,34,76,0.7458176251841659,0.03335571686693631,0,66.4,36.470588235294116,56.187,-256,-256,-256,57.5,53.781,53.593,53.781,57.5,6187,5075,17518,9.2221
69,42,54,78,88,81,0.7498946524453449,0.0457992608307911,0,67.9,36.470588235294116,55.937,-256,-256,-256,57.843,53.968,53.906,54.093,57.843,6303,5114,17607,9.7797
85,35,91,92,12,62,0.716904207032808,0.06562805958128685,0,87.9,38.431372549019606,56.125,-256,-256,-256,58.125,54.031,53.968,54.25,58.125,6420,5144,17997,10.6017
24,92,56,40,35,84,0.6517696851261556,0.07299805557704635,0,74.8,38.431372549019606,55.906,-256,-256,-256,57.625,54.062,54.062,54.218,57.625,6187,5036,17646,9.4272
25,69,76,28,88,75,0.6223426015258222,0.07449341708343232,0,86.2,38.431372549019606,55.781,-256,-256,-256,57.75,54.125,53.968,54.281,57.75,6303,5114,17607,8.0371
19,17,30,23,26,94,0.6203940562448288,0.07449341708343232,0,70.2,38.431372549019606,56.0,-256,-256,-256,57.875,54.312,54.031,54.375,58.093,6225,5027,17841,7.9677
93,17,27,26,11,65,0.6185603423616102,0.07421112945212477,0,81.2,36.86274509803921,56.031,-256,-256,-256,57.781,54.5,54.156,54.406,57.781,6109,5036,17372,8.2672
29,23,93,89,9,74,0.6192021678527452,0.07353974265333922,0,98.6,36.86274509803921,56.937,-256,-256,-256,58.406,54.656,54.343,54.875,58.437,6371,5183,17958,7.2958
88,33,63,93,42,71,0.6178118877153986,0.07276154431838326,0,99.0,36.86274509803921,57.125,-256,-256,-256,58.406,54.625,54.406,54.843,58.406,6381,5105,17919,7.9756
61,21,63,24,21,93,0.6181932920008654,0.07273865613206101,0,98.7,36.86274509803921,56.5,-256,-256,-256,58.656,54.781,54.5,54.875,58.656,6293,5153,17802,8.2076
