CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
72,37,24,26,52,85,0.622136007537861,0.03324890533076588,0,92.4,31.372549019607842,53.437,-256,-256,-256,54.875,51.468,51.593,51.531,54.875,4966,4504,15496,7.0823
45,22,46,19,87,88,0.6291284194380848,0.033454899007665996,0,81.9,33.72549019607843,53.843,-256,-256,-256,55.656,51.968,52.062,52.031,55.937,5963,4958,17244,7.286
77,41,25,37,43,74,0.6311794927528059,0.03339386384414003,0,90.7,33.333333333333336,54.093,-256,-256,-256,55.937,52.343,52.062,52.468,55.937,5534,4927,16568,5.3818
56,16,18,12,82,59,0.6361582540706192,0.03339386384414003,0,99.2,33.333333333333336,54.187,-256,-256,-256,55.937,52.25,52.25,52.406,55.75,5348,4731,16137,5.1554
40,12,22,12,84,63,0.6393022762248768,0.03336334626237705,0,99.2,34.90196078431372,54.343,-256,-256,-256,56.406,52.625,52.562,52.906,56.406,5534,4888,16462,4.965
10,16,39,30,35,76,0.6415148311927189,0.03336334626237705,0,94.6,34.90196078431372,54.25,-256,-256,-256,56.031,52.906,52.75,52.687,56.031,4848,3962,14555,7.3191
19,20,43,33,79,46,0.6426462280449031,0.03336334626237705,0,99.5,34.90196078431372,54.531,-256,-256,-256,56.406,53.062,52.812,52.937,56.406,5231,4731,16176,5.7795
44,25,43,89,11,60,0.645570327566815,0.03336334626237705,0,81.0,34.90196078431372,55.281,-256,-256,-256,57.062,53.406,53.125,53.468,57.062,5885,4919,17088,4.56
82,16,54,14,31,53,0.6476803545009294,0.03336334626237705,0,99.5,36.470588235294116,55.062,-256,-256,-256,56.625,53.375,53.468,53.375,56.625,5270,4621,15863,5.7187
20,27,72,29,83,55,0.6469272860932,0.03335571686693631,0,83.7,36.470588235294116,55.25,-256,-256,-256,57.125,53.5,53.375,53.531,57.125,5465,4731,16293,5.6719
