CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
89,23,27,22,29,73,0.41995585142867686,0.03324890533076588,0,81.0,31.372549019607842,51.937,-256,-256,-256,53.093,50.656,50.937,50.468,53.093,2759,2132,8963,5.8674
90,16,70,90,11,3,0.4281791123738008,0.03324890533076588,0,83.9,31.372549019607842,52.062,-256,-256,-256,52.906,50.781,50.937,50.5,52.906,2759,2132,9082,5.8616
11,44,40,15,88,69,0.43190293055878803,0.03324890533076588,0,73.6,31.372549019607842,51.875,-256,-256,-256,52.781,50.781,50.937,50.437,52.781,2759,2171,9042,5.0665
82,12,52,79,31,3,0.43243915217518347,0.03324890533076588,0,61.7,31.372549019607842,52.406,-256,-256,-256,53.093,50.875,51.062,50.531,53.093,2794,2171,9082,4.8012
14,16,64,16,7,93,0.43640134803858743,0.03324890533076588,0,69.9,31.372549019607842,51.968,-256,-256,-256,52.875,50.812,50.968,50.437,52.875,2720,2132,9003,5.3073
77,37,20,91,85,15,0.43994317896370816,0.03324890533076588,0,65.2,31.372549019607842,52.531,-256,-256,-256,53.031,50.875,51.031,50.593,53.031,2794,2171,9121,4.7582
43,18,16,47,39,94,0.4431933176328738,0.03324127593532514,0,73.0,31.372549019607842,52.093,-256,-256,-256,53.031,50.906,51.187,50.656,53.031,2759,2171,9082,5.0127
72,10,59,23,93,9,0.44539613243751175,0.03323364653988439,0,83.3,31.372549019607842,52.281,-256,-256,-256,53.281,51.062,51.187,50.718,53.281,2794,2171,9121,5.4508
16,22,43,21,19,93,0.44684844203526347,0.0332183877490029,0,71.4,31.372549019607842,52.031,-256,-256,-256,53.468,51.031,51.187,50.781,53.187,2799,2171,9082,5.572
34,90,63,19,64,9,0.44987353167039695,0.0332183877490029,0,79.8,31.372549019607842,52.625,-256,-256,-256,53.25,51.125,51.25,50.937,53.25,2759,2132,9042,5.0817
