CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
65,44,97,91,55,56,0.7330621125081125,0.03269958885903226,0,98.6,35.294117647058826,55.937,-256,-256,-256,57.218,53.343,53.187,53.5,57.218,6653,5261,18006,9.7294
52,27,66,61,54,64,0.7401980636555551,0.04082489500342548,0,77.9,35.294117647058826,55.062,-256,-256,-256,56.968,53.281,53.125,53.375,56.968,6264,5114,17841,9.6011
45,25,89,50,92,82,0.7174219736031324,0.054382330701629004,0,93.8,35.294117647058826,55.468,-256,-256,-256,57.406,53.593,53.218,53.781,57.406,6371,5214,18465,9.2889
48,92,25,52,47,96,0.6809542899267232,0.06772614332749168,0,98.6,35.294117647058826,55.437,-256,-256,-256,57.375,53.718,53.437,53.781,57.218,6371,5183,17763,10.2476
36,17,65,90,74,46,0.6276458640703835,0.07054139024512651,0,99.3,35.294117647058826,56.0,-256,-256,-256,57.718,53.875,53.593,54.125,57.718,6371,5300,18231,7.7559
54,39,80,27,68,86,0.6148713837080904,0.07117463006670834,0,89.6,35.294117647058826,56.031,-256,-256,-256,57.875,54.156,53.906,54.343,57.875,6148,5153,17489,8.1296
73,64,16,41,11,93,0.615315330094131,0.07155609983874557,0,80.2,35.294117647058826,56.031,-256,-256,-256,57.875,54.187,53.968,54.343,57.875,6264,5183,18105,7.4215
29,74,81,17,90,10,0.6163052382597711,0.07138062374360844,0,68.2,38.431372549019606,56.0,-256,-256,-256,58.093,54.437,54.093,54.375,58.093,6371,5231,17646,6.9898
66,89,22,92,20,10,0.6171997953540447,0.07270050915485729,0,78.4,38.431372549019606,56.625,-256,-256,-256,58.218,54.562,54.093,54.562,58.218,6448,5261,17919,7.6544
89,36,88,26,28,11,0.6169762842405184,0.07337189595364284,0,98.5,38.431372549019606,56.562,-256,-256,-256,58.062,54.406,54.062,54.593,58.062,6459,5222,18153,7.9514
