CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
30,62,79,23,17,71,0.6168558138008885,0.03256225974109885,0,79.0,32.15686274509804,52.937,-256,-256,-256,54.187,50.843,51.187,51.031,54.187,4739,3687,14225,7.2321
50,79,63,36,28,81,0.621686934750134,0.032585147927421086,0,99.2,32.15686274509804,53.281,-256,-256,-256,54.875,51.281,51.437,51.656,54.875,5621,4653,16254,7.6746
41,22,19,80,54,56,0.6253994748514112,0.032585147927421086,0,95.4,32.15686274509804,53.718,-256,-256,-256,55.656,51.781,51.718,52.093,55.656,6031,5270,17479,4.4647
31,25,83,66,6,13,0.6270937506087602,0.03257751853198034,0,91.2,32.15686274509804,54.187,-256,-256,-256,55.218,51.906,51.812,51.906,55.218,5192,4621,15628,5.6802
39,35,16,26,77,90,0.629758454205341,0.03257751853198034,0,81.6,32.15686274509804,54.093,-256,-256,-256,55.656,52.125,52.0,52.281,55.656,5758,5083,16932,4.6904
18,46,26,45,76,13,0.633427419892284,0.03257751853198034,0,73.6,35.294117647058826,54.0,-256,-256,-256,55.812,52.25,52.218,52.312,55.812,4927,4504,15339,4.536
30,30,71,76,15,4,0.6340384869733007,0.03257751853198034,0,82.1,35.294117647058826,54.156,-256,-256,-256,55.468,52.437,52.437,52.281,55.468,4692,3772,13950,6.0623
32,25,20,19,86,72,0.6342758393713801,0.03257751853198034,0,67.0,35.294117647058826,54.437,-256,-256,-256,56.437,52.812,52.687,52.906,56.437,5992,5153,17411,5.1463
26,24,56,40,32,92,0.6371332956713689,0.03257751853198034,0,80.4,35.294117647058826,54.843,-256,-256,-256,56.718,53.0,52.875,53.25,56.718,6031,5075,17205,5.0212
53,18,32,84,81,30,0.640873005701584,0.03257751853198034,0,80.8,35.294117647058826,55.062,-256,-256,-256,56.687,53.062,53.125,53.125,56.687,5660,4848,16763,5.2947
