CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
83,26,13,51,13,41,0.3823788144273348,0.030540469949301475,0,70.3,30.58823529411765,51.218,-256,-256,-256,52.437,50.062,50.25,50.0,52.187,2720,2132,8978,4.0503
31,14,76,16,47,6,0.38939890889666506,0.03053284055386073,0,71.3,30.58823529411765,51.5,-256,-256,-256,52.531,50.218,50.406,49.843,52.531,2487,2056,8582,4.2296
12,23,37,68,31,75,0.39122236997651083,0.03053284055386073,0,80.0,30.58823529411765,51.062,-256,-256,-256,52.25,50.218,50.375,49.875,52.25,2566,2096,8701,4.0475
15,16,24,31,27,87,0.39320936327015216,0.03053284055386073,0,69.2,30.58823529411765,51.218,-256,-256,-256,52.687,50.218,50.593,50.0,52.687,2917,2132,9240,3.3588
13,32,84,60,5,7,0.39263623156161476,0.030525211158419985,0,87.1,30.58823529411765,51.937,-256,-256,-256,52.531,50.312,50.687,50.093,52.531,2917,2132,9200,5.0211
46,22,60,82,4,12,0.3936281902879295,0.030525211158419985,0,78.9,30.58823529411765,51.781,-256,-256,-256,52.5,50.343,50.593,50.125,52.5,2799,2132,9082,4.2846
23,38,41,80,19,6,0.3946375787799779,0.030525211158419985,0,69.3,30.58823529411765,51.625,-256,-256,-256,52.562,50.468,50.687,50.093,52.562,2720,2092,8978,4.1427
83,35,63,25,15,17,0.3978215868673892,0.030525211158419985,0,70.4,30.58823529411765,51.812,-256,-256,-256,52.687,50.468,50.75,50.25,52.562,2720,2135,8938,4.0186
85,10,34,17,13,13,0.398149163935149,0.030525211158419985,0,78.4,30.58823529411765,51.625,-256,-256,-256,52.843,50.468,50.812,50.312,52.843,2645,2096,8859,4.0156
24,18,51,22,81,61,0.4006769926067035,0.030509952367538496,0,65.5,30.58823529411765,51.875,-256,-256,-256,52.687,50.562,50.781,50.25,52.687,2641,2092,8845,4.1561
